發生年度,發生月,發生日,發生時-Hours,發生分,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序號,車種,天候,光線,道路類別,速限-速度限制,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,保護裝置,行動電話,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,肇因碼-個別,個人肇逃否,職業,座標-X,座標-Y
114,01,01,00,18,03中山區,中山區市民大道2段47號,0,0,1,1,C03,8,5,5,40,14,9,1,5,4,5,13,4,4,1,4,5,2,13,1,22,2,9,5,1,7,9,1,10,1,11,16,1,21,121.5290038,25.04660303
114,01,01,00,31,10文山區,文山區新光路1段109號旁,0,0,3,1,C03,7,5,5,50,14,9,1,5,4,5,13,4,4,9,5,5,2,17,1,21,2,8,6,1,7,1,1,10,1,14,19,1,21,121.5736892,24.9912752
114,01,01,00,35,03中山區,中山區北安路與大直街口,0,0,1,1,C03,7,5,5,50,5,1,1,5,4,5,13,2,1,1,5,5,1,16,2,21,2,9,3,4,7,5,3,18,1,12,96,1,21,121.5471963,25.07984181
114,01,01,00,41,03中山區,中山區民族東路2號,0,0,1,1,B01,7,5,5,50,14,7,1,5,4,5,13,4,4,6,3,4,1,17,1,54,3,10,7,1,7,1,1,4,1,8,19,1,21,121.5233047,25.0683953
114,01,01,00,57,11南港區,南港區忠孝東路6段與玉成街口,0,0,1,1,B03,7,5,5,50,3,1,1,5,4,5,12,2,1,3,4,5,2,13,1,19,3,10,3,4,7,9,1,8,1,5,108,1,22,121.5832269,25.0458717
114,01,01,01,34,07信義區,信義區吳興街269巷18弄與吳興街281巷47弄口,0,0,3,1,C04,7,5,5,30,3,1,1,5,4,5,13,4,4,10,4,5,1,15,2,25,2,8,3,4,7,15,1,10,1,11,74,1,21,121.5652003,25.0269334
114,01,01,02,15,07信義區,信義區基隆路2段107號之2,0,0,1,1,C03,7,5,5,50,14,9,1,5,4,5,13,4,4,1,4,5,2,13,1,18,2,9,6,1,7,9,1,10,1,11,118,1,22,121.5575723,25.029541
114,01,01,06,26,10文山區,文山區指南路3段(岐山幹42),0,0,1,1,C03,8,7,5,30,12,9,1,5,4,5,13,4,4,10,5,5,1,10,1,21,2,1,6,1,7,9,1,10,1,11,108,1,21,121.5972232,24.9724278
114,01,01,06,29,10文山區,文山區辛亥路4段與辛亥路4段101巷口,0,0,1,1,B01,8,6,5,50,3,2,1,5,4,5,13,2,1,1,4,5,2,12,1,66,3,10,7,1,7,7,1,4,2,2,100,1,21,121.5583969,25.0064466
114,01,01,07,11,06松山區,松山區寶清街93號,0,0,2,1,B02,8,5,5,30,14,9,1,5,4,5,13,1,1,9,4,5,1,12,1,44,3,10,7,1,7,1,1,8,1,4,19,1,21,121.5679891,25.0524534
114,01,01,07,13,11南港區,南港區興中路與興中路86巷口口,0,0,2,1,C03,8,6,5,30,3,1,1,5,4,5,13,4,4,5,5,5,2,17,1,53,2,9,6,1,7,6,1,10,1,12,99,1,21,121.6067411,25.057706
114,01,01,07,30,06松山區,松山區塔悠路與撫遠街249巷口,0,0,1,1,B01,7,6,5,50,3,1,1,5,4,5,13,2,1,1,4,5,2,17,1,57,3,10,7,1,7,7,1,4,1,7,99,1,22,121.5687461,25.061196
114,01,01,09,46,04大安區,大安區新生南路3段與新生南路3段22巷口,0,0,1,1,B01,6,6,5,50,3,1,1,4,4,5,13,2,1,1,4,5,2,13,4,0,,,,,,,,,,,119,2,,121.5345909,25.0241521
114,01,01,09,50,05中正區,中正區貴陽街1段與懷寧街口,0,0,2,1,C03,7,5,5,50,3,1,1,5,4,5,13,4,4,9,4,5,2,13,1,50,3,10,5,1,7,7,1,10,1,11,100,1,21,121.5136333,25.0387041
114,01,01,10,17,03中山區,中山區建國高架道與松江路口匝道,0,0,1,1,C01,8,6,5,40,10,7,1,5,4,5,13,4,4,2,4,5,2,17,1,40,2,9,6,1,7,7,1,10,1,12,100,1,21,121.5332438,25.07018102
114,01,01,10,23,03中山區,中山區市民大道3段與建國南路1段口,0,0,1,1,B03,6,6,5,40,4,1,1,4,4,5,13,2,1,5,4,1,2,16,1,53,3,10,7,1,7,6,1,8,1,6,98,1,22,121.5369326,25.044862
114,01,01,10,38,07信義區,信義區松山路540巷3弄與松山路540巷口,0,0,2,1,C03,8,7,5,30,4,1,1,5,4,5,13,4,4,10,5,5,2,17,1,25,2,9,5,1,7,9,1,10,2,11,72,1,21,121.5776469,25.0376373
114,01,01,10,54,10文山區,文山區羅斯福路6段與景福街口,0,0,1,1,B03,6,7,5,50,4,1,1,4,4,5,13,2,1,1,4,5,2,16,2,30,3,10,7,1,7,5,1,8,2,6,71,1,21,121.5397961,24.9996465
114,01,01,10,56,08士林區,士林區至善路2段150號,0,0,2,1,C03,7,7,5,50,14,9,1,5,4,5,13,4,4,3,4,5,1,12,2,49,2,9,5,1,7,9,1,10,2,14,44,1,21,121.5495075,25.0996554
114,01,01,11,04,09北投區,北投區東華街2段與致遠三路口,0,0,1,1,B01,7,5,5,50,4,1,1,5,4,5,13,1,1,10,5,5,2,16,1,54,3,10,7,1,7,5,1,8,1,1,71,1,21,121.5116496,25.119785
114,01,01,11,20,11南港區,南港區忠孝東路6段與永吉路口口,0,0,1,1,C03,6,7,5,50,5,2,1,4,4,5,13,1,1,1,3,5,2,12,1,18,2,9,5,1,7,9,1,10,1,12,77,1,21,121.5828453,25.0456127
114,01,01,11,28,04大安區,大安區金山南路2段與潮州街口,0,0,1,1,B01,7,5,5,50,5,2,1,4,4,5,13,2,1,8,3,4,1,15,1,65,3,10,7,1,7,11,1,8,9,17,10,1,21,121.5265264,25.029234
114,01,01,11,37,07信義區,信義區吳興街284巷59弄12號,0,0,1,1,B11,6,6,8,30,22,22,1,4,4,5,13,4,4,10,5,5,2,14,1,47,2,1,7,1,7,2,1,7,1,3,12,1,21,121.5636747,25.0217845
114,01,01,11,45,07信義區,信義區莊敬路420號,0,0,1,1,B02,6,7,5,50,14,9,1,4,4,5,13,2,1,10,4,5,2,16,1,26,3,10,3,4,7,11,1,8,2,8,10,1,21,121.5666003,25.0271882
